Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Bianca,NFANDROID2-PRV-PHTV15AMT2-PHILIQM163E-6465-1386A09BF478BA4AB4618F334AC28D6735D9E04C05F0837FD7CC585C30103F41,Philips PHTV15AMT2 Smart TV,2021-04-18T13:30:01.100,2022-04-14T16:41:48.056,2021-04-18T13:30:01.100,2022-04-14T16:41:48.056,2021-09-23T11:30:58.166,2022-02-17T08:42:36.863,2021-12-24T12:58:31.892,2022-02-17T08:42:36.863,
Ana,NFANDROID2-PRV-PHTV15AMT2-PHILIQM163E-6465-1386A09BF478BA4AB4618F334AC28D6735D9E04C05F0837FD7CC585C30103F41,Philips PHTV15AMT2 Smart TV,2021-04-18T13:30:01.100,2022-04-14T16:41:48.056,2021-04-18T13:30:01.100,2022-04-14T16:41:48.056,2021-12-28T09:04:06.521,2022-02-12T18:21:35.817,2021-12-28T09:04:06.521,2022-02-12T18:21:35.817,
Bianca,NFCDCH-02-FYMUZ24VMHXWK8KEA222PUGG2J4YAR,Chrome PC (Cadmium),2020-04-17T11:09:17.424,2020-04-17T11:09:17.424,,,2020-04-17T11:09:17.424,2020-04-17T11:09:17.424,,,
Bianca,NFCDCH-02-G54J8Q44NLMXWDREM1KY8D5QC380NM,Chrome PC (Cadmium),2020-04-03T11:11:39.772,2020-04-03T11:11:39.772,,,2020-04-03T11:11:39.772,2020-04-03T11:11:39.772,,,
Bianca,NFANDROID1-PRV-P-L3-SAMSUSM-G935F-4445-03F8818E4F845ACEF0A2A8D8331E577D7A357A4CCFBA6D968BB43556F4CAE0A31,Android DefaultWidevineL3Phone Android Phone,2020-02-19T10:36:29.937,2020-02-19T16:02:21.960,2020-02-19T10:36:29.937,2020-02-19T16:02:21.960,2020-02-19T10:36:29.937,2020-02-19T16:02:21.960,2020-02-19T10:36:29.937,2020-02-19T16:02:21.960,
Gelu,NFPS4-001-5WTWZD1KGPL5EEVTH3WTQH5DTM,Sony PS4,,,,,,,,,
Gelu,NFCDCH-02-HAM8G50AFKAH5T9A1NH4JTF28PQ9E8,Chrome PC (Cadmium),,,,,,,,,
Gelu,NFCDCH-02-GUNCNCLXEEU4F88Y9KWWUDJU0EMRR8,Chrome PC (Cadmium),,,,,,,,,
Gelu,NFCDCH-02-F26UCY4PG78HXXFXEH1CH8A2E74690,Chrome PC (Cadmium),,,,,,,,,
Gelu,NFAPPL-01-IPAD7=5-73AD086750CE0A614922B7B3F2420544EDA27EAC2EECC714CEDB3FE76D65DA94,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,,,,,,,,,
Gelu,NFCDCH-02-ETAFKHDYLNGERC2GTH238N0N7RRCGF,Chrome PC (Cadmium),,,,,,,,,
Gelu,NFCDCH-02-FPL49UJRYUFVWWVE6KPEKNY1CXNKKH,Chrome PC (Cadmium),,,,,,,,,
Gelu,NFANDROID2-PRV-PHTV15AMT2-PHILIQM163E-6465-9D353A96080AF633DA139BF34305C30873F3B39A0F921953976D300B22D903E2,Philips PHTV15AMT2 Smart TV,,,,,,,,,
Gelu,NFUWA-001-F78FFE3F1F8BF1F744A1C804434208A04B2FEE6AFED67912FE6C28BEC0961275,Netflix Windows App - Cadmium Windows Mobile,,,,,,,,,
Gelu,NFANDROID1-PRV-P-L3-SAMSUSM-G935F-4445-0D584F1167F9D847B7FC641EBBB49B1123A3CD773CF9BE88BC69D7B398166F5AD,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
Gelu,NFANDROID1-PRV-P-L3-HUAWEPRA-LX1-4445-0BF264D9CB99CFFCD8777F5E15AA839B3AB03F5EEF1E528E54A9A0043BC35DD04,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
Gelu,NFCDCH-02-EZXC5W67XTTYTJE07KE088UTKJEJGH,Chrome PC (Cadmium),,,,,,,,,
Gelu,SSTV-X101-121218-0001132687-056E,Samsung 2012 Mstar X10 Smart TV,,,,,,,,,
Gelu,SSTV-X101-150824-0000794461-0861,Samsung 2012 Mstar X10 Smart TV,,,,,,,,,
Gelu,NFCDCH-02-DHDGZ898W2QVXWYUKTM9742HJ6G2KE,Chrome PC (Cadmium),,,,,,,,,
Gelu,NFANDROID1-PRV-P-L3-SAMSUSM-G935F-4445-0861C5CF2E1BF900C7553917ECFB12AA2C3EA86AD8BCB9A4E69DC77BA62752B1D,Android DefaultWidevineL3Phone Android Phone (samsung_SM-G935F),,,,,,,,,
Gelu,NFCDCH-02-DZ6CXL3X1CRU9H1ATT6YWT0XKWGVAE,Chrome PC (Cadmium),,,,,,,,,
Gelu,NFANDROID1-PRV-P-L3-SAMSUSM-G935F-4445-3C83E779F468B658DB25A8218A9F6B81A451AF149DDE99C92CBD478D654F6014,Android DefaultWidevineL3Phone Android Phone (samsung_SM-G935F),,,,,,,,,
Gelu,WWW-BROWSE-EX7D49TUADEH6T59KLNRY660AYD5VM,Netflix WWW-BROWSER UNSUPPORTED BROWSER,,,,,,,,,
