Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Gelu,tvui,movieDetails,,,2023-11-12 19:33:03
Gelu,tvui,movieDetails,,,2023-11-12 19:33:02
Gelu,tvui,playback,,,2023-11-12 19:33:02
Gelu,tvui,postPlay,,,2023-11-12 19:32:56
Gelu,tvui,playback,,,2023-11-12 19:32:56
Gelu,tvui,playback,,,2023-11-12 19:32:51
Gelu,tvui,postPlay,,,2023-11-12 19:32:51
Gelu,tvui,movieDetails,,,2023-11-12 18:49:00
Gelu,tvui,playback,,,2023-11-12 18:49:00
Gelu,tvui,movieDetails,,,2023-11-12 18:48:57
Gelu,tvui,browseTitles,,,2023-11-12 18:48:57
Gelu,tvui,browseTitles,,,2023-11-12 18:42:28
Gelu,tvui,movieDetails,,,2023-11-12 18:42:28
Gelu,tvui,movieDetails,,,2023-11-12 18:42:23
Gelu,tvui,postPlay,,,2023-11-12 18:42:23
Gelu,tvui,playback,,,2023-11-12 18:42:20
Gelu,tvui,postPlay,,,2023-11-12 18:42:20
Gelu,tvui,playback,,,2023-11-12 17:53:45
Gelu,tvui,postPlay,,,2023-11-12 17:53:45
Gelu,tvui,playback,,,2023-11-12 17:53:39
Gelu,tvui,postPlay,,,2023-11-12 17:53:39
Gelu,tvui,playback,,,2023-11-12 17:10:05
Gelu,tvui,postPlay,,,2023-11-12 17:10:05
Gelu,tvui,playback,,,2023-11-12 17:09:59
Gelu,tvui,postPlay,,,2023-11-12 17:09:59
Gelu,tvui,episodesSelector,,,2023-11-12 16:40:47
Gelu,tvui,playback,,,2023-11-12 16:40:47
Gelu,tvui,movieDetails,,,2023-11-12 16:40:35
Gelu,tvui,episodesSelector,,,2023-11-12 16:40:35
Gelu,tvui,browseTitles,,,2023-11-12 16:40:30
Gelu,tvui,movieDetails,,,2023-11-12 16:40:30
Gelu,tvui,browseTitles,,,2023-11-12 16:39:14
Gelu,tvui,profilesGate,,,2023-11-12 16:39:14
Gelu,tvui,profilesGate,,,2023-11-12 16:39:11
Gelu,tvui,browseTitles,,,2023-11-12 13:57:02
Gelu,tvui,profilesGate,,,2023-11-12 13:57:02
Gelu,tvui,movieDetails,,,2023-11-12 13:26:51
Gelu,tvui,browseTitles,,,2023-11-12 13:26:51
Gelu,tvui,movieDetails,,,2023-11-12 13:26:48
Gelu,tvui,playback,,,2023-11-12 13:26:48
Gelu,tvui,movieDetails,,,2023-11-12 13:03:43
Gelu,tvui,playback,,,2023-11-12 13:03:43
Gelu,tvui,browseTitles,,,2023-11-12 13:03:40
Gelu,tvui,movieDetails,,,2023-11-12 13:03:40
Gelu,tvui,movieDetails,,,2023-11-12 13:01:09
Gelu,tvui,browseTitles,,,2023-11-12 13:01:09
Gelu,tvui,playback,,,2023-11-12 13:01:06
Gelu,tvui,movieDetails,,,2023-11-12 13:01:06
Gelu,tvui,movieDetails,,,2023-11-12 12:42:16
Gelu,tvui,playback,,,2023-11-12 12:42:16
Gelu,tvui,browseTitles,,,2023-11-12 12:42:13
Gelu,tvui,movieDetails,,,2023-11-12 12:42:13
Gelu,tvui,browseTitles,,,2023-11-12 12:40:47
Gelu,tvui,profilesGate,,,2023-11-12 12:40:47
Gelu,tvui,profilesGate,,,2023-11-12 12:40:44
Gelu,tvui,categoryHub,,,2023-11-11 20:32:45
Gelu,tvui,profilesGate,,,2023-11-11 20:32:45
Gelu,tvui,browseTitlesGallery,,,2023-11-11 19:12:07
Gelu,tvui,browseTitlesGallery,,,2023-11-11 19:12:07
Gelu,tvui,browseTitlesGallery,,,2023-11-11 19:12:07
Gelu,tvui,categoryHub,,,2023-11-11 19:12:07
Gelu,tvui,browseTitlesGallery,,,2023-11-11 19:11:04
Gelu,tvui,categoryHub,,,2023-11-11 19:11:04
Gelu,tvui,categoryHub,,,2023-11-11 19:10:56
Gelu,tvui,browseTitles,,,2023-11-11 19:10:56
Gelu,tvui,browseTitles,,,2023-11-11 19:08:25
Gelu,tvui,profilesGate,,,2023-11-11 19:08:25
Gelu,tvui,profilesGate,,,2023-11-03 14:20:06
Gelu,tvui,profilesGate,,,2023-11-03 14:16:11
Gelu,tvui,browseTitles,,,2023-11-01 19:43:07
Gelu,tvui,profilesGate,,,2023-11-01 19:43:07
Gelu,tvui,movieDetails,,,2023-11-01 19:12:57
Gelu,tvui,browseTitles,,,2023-11-01 19:12:57
Gelu,tvui,playback,,,2023-11-01 19:12:53
Gelu,tvui,movieDetails,,,2023-11-01 19:12:53
Gelu,tvui,movieDetails,,,2023-11-01 19:10:57
Gelu,tvui,playback,,,2023-11-01 19:10:57
Gelu,tvui,browseTitles,,,2023-11-01 19:08:51
Gelu,tvui,movieDetails,,,2023-11-01 19:08:51
Gelu,tvui,movieDetails,,,2023-11-01 19:08:07
Gelu,tvui,browseTitles,,,2023-11-01 19:08:07
Gelu,tvui,browseTitles,,,2023-11-01 19:07:29
Gelu,tvui,movieDetails,,,2023-11-01 19:07:29
Gelu,tvui,movieDetails,,,2023-11-01 19:07:13
Gelu,tvui,browseTitles,,,2023-11-01 19:07:13
Gelu,tvui,postPlay,,,2023-11-01 19:07:11
Gelu,tvui,movieDetails,,,2023-11-01 19:07:11
Gelu,tvui,postPlay,,,2023-11-01 19:07:06
Gelu,tvui,playback,,,2023-11-01 19:07:06
Gelu,tvui,movieDetails,,,2023-11-01 17:47:57
Gelu,tvui,playback,,,2023-11-01 17:47:57
Gelu,tvui,movieDetails,,,2023-11-01 17:47:55
Gelu,tvui,browseTitles,,,2023-11-01 17:47:55
Gelu,tvui,movieDetails,,,2023-11-01 17:44:12
Gelu,tvui,browseTitles,,,2023-11-01 17:44:12
Gelu,tvui,playback,,,2023-11-01 17:44:10
Gelu,tvui,movieDetails,,,2023-11-01 17:44:10
Gelu,tvui,playback,,,2023-11-01 16:19:01
Gelu,tvui,movieDetails,,,2023-11-01 16:19:01
Gelu,tvui,browseTitles,,,2023-11-01 16:18:48
Gelu,tvui,movieDetails,,,2023-11-01 16:18:48
Gelu,tvui,browseTitles,,,2023-11-01 16:15:51
Gelu,tvui,movieDetails,,,2023-11-01 16:15:51
